name,url,href,author,comment_count,follower, content
Steins Gate,https://i.pinimg.com/474x/59/0d/58/590d583c0fca62f34d4ef4f7da541d74.jpg,/pin/918241811515523030/,₳ᥒіmᥱs ₩ᥲᥣᥣ⍴ᥲ⍴ᥱrs 🕷,Comments,6.2k, 
Steins Gate,https://i.pinimg.com/236x/c6/0e/3b/c60e3b452d47d140b1aae43e3c9f6871.jpg,/pin/5348093301705322/,Cheape,Comments,77followers,None
Steins Gate,https://i.pinimg.com/236x/f0/94/3a/f0943a118aea8c0eaf3265bf267b9c57.jpg,/pin/64317100923565859/,Azalin,Comments,63followers,None
Steins Gate,https://i.pinimg.com/474x/1b/87/da/1b87da6e69b922f12681c2987d901077.jpg,/pin/726909196136856341/,Monde ADN | Animés & Mangas | Boutique Figurines,Comments,127,Galerie d'images sur le thème de l'animé japonais & le Manga Steins Gate.
Steins Gate,https://i.pinimg.com/236x/cb/4c/98/cb4c98e2cb370d6f110ea494e626e989.jpg,/pin/293859944453525180/,Author not found,Comments,66,Steins;Gate - シュタインズ・ゲート
Steins Gate,https://i.pinimg.com/236x/b7/5e/bf/b75ebf78f47d516d5654260bd9000320.jpg,/pin/16044142408164741/,Cemre,Comments,274followers,None
Steins Gate,https://i.pinimg.com/236x/7b/10/c4/7b10c4bd60a9bee55eedb09e6f63793f.jpg,/pin/186899453279579265/,Author not found,1 Comment,8,None
Steins Gate,https://i.pinimg.com/236x/b5/53/47/b55347ff58a9746a4507ec1e9de95067.jpg,/pin/338684834481274628/,Michael Ginn,Comments,143followers,None
Steins Gate,https://i.pinimg.com/236x/7e/4b/ce/7e4bce58b7eb3a1edc9010e830692246.jpg,/pin/438889926171966042/,Shua Powell,Comments,210followers,Kurisu Makise (Christina)
Steins Gate,https://i.pinimg.com/236x/a6/ce/28/a6ce2853d9c61c817c2f79c12c52fecf.jpg,/pin/10696117855392226/,Author not found,Comments,7k,None
Steins Gate,https://i.pinimg.com/236x/40/0f/ac/400fac1412196b3fa6e7608634e3a732.jpg,/pin/52072939433532128/,Author not found,Comments,286,Collage Wallpaper Steins;Gate #SteinsGate #Okabe #Kurisu #HououinKyouma #Mayuri #Daruu #Rukako #Moeka #OkabeRintaro #HackingToGate #ElPsyCongroo
Steins Gate,https://i.pinimg.com/736x/6b/2e/fc/6b2efc40fe1d80630ac85cc65ba46c30.jpg,/pin/924645367244106011/,Uriel ByrneMAC,Comments,1,Gate Anime Wallpaper WallpaperSafari
Steins Gate,https://i.pinimg.com/236x/99/03/3f/99033f75c956279dde7d1fe5a606844b.jpg,/pin/732397958183830494/,Author not found,Comments,2k,♡ Anime: Steins;Gate Character: Kurisu Makise - - - 𝘵𝘢𝘨𝘴 #anime #animeicons #animeicon #animeiconsedit #animepfp #animeprofilepic #animepfps #animescreenshot #animescreenshots #animeprofilepicture #kurisumakise #makisekurisu #steinsgate
Steins Gate,https://i.pinimg.com/236x/02/1d/3e/021d3e0e3192688adeaa1a2cb49c0e99.jpg,/pin/1196337390692244/,Margaufre,Comments,278followers,makise kurisu-steins gate♥
